LotFrontage,OverallQual,YearBuilt
70.0,5,1957
59.0,6,1993
67.0,5,1910
60.0,5,1937
50.0,5,1924
70.0,5,1972
122.0,6,2005
40.0,4,1922
78.0,6,1981
76.0,8,2007
70.0,6,1966
85.0,5,1966
82.0,7,1978
85.0,7,1965
80.0,7,1969
,6,2002
,6,1953
49.0,5,1955
75.0,6,1977
47.0,6,1986
55.0,5,1926
91.0,5,1969
52.0,5,1928
65.0,6,2005
67.0,7,2003
35.0,7,2006
100.0,7,1959
,3,1949
79.0,7,2009
,5,1966
60.0,5,1949
67.0,5,1925
79.0,6,1980
,4,1976
,5,1982
60.0,7,2006
128.0,6,1953
71.0,4,1970
64.0,5,1979
,5,1954
60.0,5,1982
78.0,7,1997
34.0,7,2007
80.0,5,1960
53.0,5,1910
33.0,4,1920
60.0,6,1924
95.0,7,2007
,6,1995
60.0,5,1950
,5,1916
80.0,6,1962
58.0,7,2006
85.0,10,2008
72.0,9,2003
60.0,5,1923
,6,1968
,4,1965
75.0,10,1893
105.0,9,2006
44.0,8,2004
,6,1985
64.0,8,2008
,6,1960
69.0,5,1962
54.0,5,1875
,7,2000
91.0,8,1995
,6,1976
75.0,6,1980
,8,2002
,7,1994
71.0,5,1963
43.0,7,2005
78.0,6,1974
60.0,6,1939
,5,1960
75.0,6,1958
70.0,5,1946
,6,2000
60.0,5,1955
74.0,8,2004
,6,1967
65.0,5,1939
80.0,6,1932
105.0,6,1977
21.0,6,1971
,6,1977
71.0,6,1983
,4,1961
70.0,6,1997
,5,1964
75.0,5,1950
80.0,8,1993
64.0,5,1957
90.0,5,1898
102.0,8,2004
77.0,6,1962
50.0,6,1929
100.0,5,1960
,6,1976
90.0,9,2007
60.0,5,1949
67.0,9,2008
52.0,6,1931
50.0,7,1915
105.0,6,1995
,5,1941
51.0,6,2005
52.0,8,1994
55.0,5,1911
75.0,6,1964
80.0,5,1950
70.0,4,1971
60.0,7,1999
100.0,5,1967
90.0,6,1974
34.0,7,2007
107.0,7,1992
70.0,7,2004
50.0,4,1940
76.0,8,2004
70.0,5,1960
49.0,8,2005
120.0,5,1972
96.0,9,2008
89.0,8,1994
70.0,5,1965
,7,2001
30.0,8,1995
34.0,7,2007
90.0,6,1968
103.0,7,1991
55.0,5,1912
44.0,7,2009
76.0,7,2000
62.0,7,2004
75.0,7,2003
60.0,5,1965
69.0,5,1958
,5,1975
70.0,5,1958
49.0,3,1955
65.0,7,2007
67.0,6,1920
104.0,9,2008
80.0,7,1970
35.0,5,2005
72.0,7,2009
84.0,9,2006
43.0,7,1996
82.0,6,1964
70.0,6,1992
85.0,5,1958
,6,1995
100.0,7,2004
,5,1955
65.0,6,1969
50.0,5,1957
60.0,7,1925
102.0,7,1920
,4,1957
60.0,5,1910
68.0,7,2005
77.0,9,2005
,9,2000
75.0,8,2002
60.0,6,1919
,5,1954
40.0,5,1913
55.0,6,1976
78.0,7,1999
,5,1957
160.0,10,1996
92.0,7,1977
43.0,7,2005
68.0,5,1958
122.0,9,2007
81.0,6,1990
60.0,5,1950
88.0,5,1975
59.0,6,1954
,7,1998
90.0,7,1990
75.0,5,1965
115.0,5,1948
50.0,5,1900
46.0,7,1986
36.0,5,1972
50.0,6,1919
80.0,6,1963
70.0,5,2007
73.0,7,2005
79.0,5,1965
77.0,5,1974
,4,1940
60.0,7,1936
77.0,8,2006
39.0,8,1995
90.0,5,1976
75.0,7,2000
85.0,8,2002
80.0,6,1976
,6,1999
76.0,7,2004
60.0,5,1941
56.0,3,1935
48.0,6,1979
63.0,9,2008
,4,1971
,5,1985
70.0,5,1962
80.0,6,1953
80.0,6,1960
85.0,6,1978
60.0,5,1904
84.0,7,2005
70.0,5,1965
65.0,7,2004
105.0,3,1915
70.0,5,1959
87.0,8,2006
50.0,5,1880
50.0,6,1937
106.0,8,2000
,4,1971
120.0,8,2006
60.0,7,1920
74.0,5,1965
36.0,7,2003
58.0,7,2006
52.0,6,1930
,7,1976
80.0,7,1976
,8,1925
65.0,5,1977
59.0,7,2004
,6,2004
86.0,8,2006
80.0,8,2008
,7,2000
,6,1916
90.0,7,1993
90.0,6,1957
,5,1983
,5,1962
141.0,6,1960
120.0,6,1962
60.0,5,1977
80.0,6,1971
65.0,8,1995
73.0,8,1999
85.0,8,2006
50.0,9,1999
65.0,6,1961
65.0,6,1997
,6,1972
75.0,5,1963
103.0,10,2003
50.0,6,1925
85.0,8,2007
50.0,5,1941
80.0,6,1950
85.0,7,1974
70.0,4,1930
96.0,5,1914
102.0,7,1968
50.0,7,2006
24.0,7,2005
100.0,7,1959
87.0,5,1973
60.0,7,1915
108.0,9,1999
79.0,5,1942
99.0,8,2004
85.0,5,1993
64.0,8,2006
71.0,5,1965
78.0,6,1974
65.0,4,1955
78.0,7,1998
63.0,5,1900
,5,1967
,6,1976
72.0,8,2005
,6,1942
86.0,7,1990
85.0,8,2006
79.0,6,1959
79.0,6,1997
56.0,8,1995
57.0,5,1996
60.0,7,1925
52.0,5,1930
,7,1980
75.0,6,1940
68.0,8,2007
72.0,6,1956
67.0,4,1949
,4,1957
,5,1969
60.0,5,1924
60.0,6,1910
21.0,6,1970
114.0,7,1990
67.0,4,1951
63.0,7,2004
,8,1998
,7,1970
64.0,7,2006
81.0,5,1954
42.0,4,1977
83.0,6,2009
,7,1926
,8,1976
57.0,7,1998
,6,1963
70.0,5,1968
121.0,8,1991
60.0,4,1954
60.0,7,1910
51.0,4,1923
