rooms,bedrooms,population,households,value,inland
880,129,322,126,452600,0
7099,1106,2401,1138,358500,0
1467,190,496,177,352100,1
1274,235,558,219,341300,1
1627,280,565,259,342200,1
1966,347,793,331,152500,1
919,213,413,193,269700,1
2535,489,1094,514,299200,1
3104,687,1157,647,241400,0
2555,665,1206,595,226700,0
3549,707,1551,714,261100,1
2202,434,910,402,281500,0
3503,752,1504,734,241800,1
2491,474,1098,468,213500,0
696,,345,174,191300,0
2643,626,1212,620,159200,1
1120,283,697,264,140000,0
1966,347,793,331,152500,1
1228,293,648,303,155500,1
2239,455,990,419,158700,0
1503,298,690,275,162900,1
751,184,409,166,147500,1
1639,367,929,366,159800,1
2436,541,1015,478,113900,0
1688,337,853,325,99700,1
2224,437,1006,422,132600,1
535,123,317,119,107500,0
1130,244,607,239,93800,0
1898,421,1102,397,105500,1
2082,492,1131,473,108900,0
729,160,395,155,132000,1
1916,447,863,378,122300,1
2153,481,1168,441,115200,0
1922,409,1026,335,110400,0
1655,366,754,329,104900,0
2665,574,1258,536,109700,1
1215,282,570,264,97200,1
1798,432,987,374,104500,0
1511,390,901,403,103900,1
1470,330,689,309,191400,1
2432,715,1377,696,176000,1
1665,419,946,395,155400,1
936,311,517,249,150000,1
713,202,462,189,118800,0
950,202,467,198,188800,0
1443,311,660,292,184400,0
1656,420,718,382,182300,1
1125,322,,304,142500,0
1007,312,558,253,137500,1
624,195,423,160,187500,0
946,375,700,352,112500,0
896,453,735,438,171900,1
1868,456,1061,407,93800,1
3221,853,1959,720,97500,1
1630,456,1162,400,104200,0
1170,235,701,233,87500,1
945,243,576,220,83100,0
1238,288,622,259,87500,0
1489,335,728,244,85300,0
1387,341,1074,304,80300,1
158,43,94,57,60000,1
1121,211,554,187,75700,1
135,29,86,23,75000,1
760,190,377,122,86100,1
1224,237,521,159,76100,1
828,182,392,133,73500,1
1010,209,604,187,78400,1
1455,354,788,332,84400,0
1027,244,492,147,81300,1
572,109,274,82,85000,0
2801,644,1823,611,129200,0
768,152,392,127,82500,0
935,297,582,277,95200,1
844,204,560,152,75000,1
12,4,18,7,67500,1
835,161,290,133,137500,1
1237,462,762,439,177500,0
2914,562,1236,509,102100,0
1207,243,721,207,108300,1
1745,374,1054,325,112500,1
684,176,344,155,131300,0
924,289,609,289,162500,1
210,56,183,56,112500,1
340,,,87,112500,0
386,164,346,155,137500,0
948,184,467,169,118800,1
773,143,377,115,98200,1
880,451,582,380,118800,1
875,348,546,330,162500,0
105,42,125,39,137500,1
249,78,396,85,500001,0
994,392,800,362,162500,1
215,87,904,88,137500,1
96,31,191,34,162500,0
1055,347,718,302,187500,1
1715,623,1327,467,179200,1
5329,2477,3469,2323,130000,1
4596,1331,2048,1180,183800,1
335,107,202,91,125000,1
3682,1270,2024,1250,170000,1
3633,1085,1838,980,193100,1
4656,1414,2304,1250,257800,1
5806,1603,2563,1497,273400,1
854,242,389,228,237500,1
2155,701,895,613,350000,1
5871,1914,2689,1789,335700,1
1509,225,674,244,313400,1
2026,482,709,456,268500,0
1758,460,686,422,259400,1
3481,751,1444,718,275700,0
3337,855,1520,802,225000,1
1424,289,550,253,262500,1
3809,1098,1806,1022,218500,1
3959,1196,1749,1217,255000,0
2376,559,939,519,224100,0
1613,428,675,422,243100,0
1279,287,534,291,231600,0
5022,1750,2558,1661,218500,0
4190,1105,1786,1037,234100,0
2515,399,970,373,327600,1
3175,454,1098,485,347600,0
2576,406,794,376,366100,1
334,54,98,47,335000,0
2800,411,1061,403,373600,1
3529,574,1177,555,389500,0
2612,365,901,367,391100,0
5287,1048,2031,956,337300,1
2935,473,1031,479,295200,0
3424,597,1358,597,292300,1
4991,674,1616,654,411500,1
2211,346,844,343,311500,0
3038,490,1140,496,325900,1
1617,210,533,194,392600,1
2865,460,1072,443,319300,0
5065,788,1627,766,333300,1
1326,,463,190,335200,1
1589,223,542,211,351200,0
1791,271,661,269,368900,1
1835,264,635,263,365900,1
1229,181,420,176,366700,1
3770,534,1265,500,362800,1
292,38,126,52,483300,0
2375,333,813,350,331400,1
2964,436,1067,426,323500,1
2833,605,1260,552,216700,1
2254,535,951,487,233100,1
1389,212,510,224,296400,1
1971,335,765,308,273700,1
2183,465,1129,460,227700,1
2286,464,1073,441,199600,1
2721,541,1185,515,239800,1
2024,339,756,340,270100,1
2944,536,1034,521,302100,0
2033,486,787,459,269500,1
1433,229,612,213,314700,0
2927,402,1021,380,390100,0
2315,292,861,258,410300,0
2485,313,953,327,352400,0
1490,238,634,256,287300,0
2814,365,878,352,348700,0
2093,550,918,483,243800,0
888,168,360,175,211500,0
2087,510,1197,488,218400,0
2513,502,1048,518,269900,0
3232,835,1373,747,218800,1
4120,1065,1715,1015,225000,0
2364,792,1359,722,250000,0
1471,469,1062,413,171400,0
2468,864,1335,773,193800,0
1632,492,1171,429,125000,0
1786,526,1475,460,97500,0
629,188,742,196,125000,0
1339,391,1086,363,138800,0
1678,606,1645,543,116700,0
2344,647,1710,644,151800,0
996,228,731,228,127000,0
1591,373,1118,347,128600,0
1586,398,1006,335,140600,0
2046,588,1213,554,182700,0
1192,289,772,257,146900,0
1803,420,1321,401,122800,0
2838,749,1487,677,169300,0
783,184,488,186,126600,0
1590,414,949,392,127900,0
1746,480,1149,415,123500,0
1252,299,844,280,111900,0
5963,1344,4367,1231,112800,0
1783,395,1659,412,107900,0
999,264,1011,263,137500,0
1469,431,1464,389,105500,0
1372,395,1237,303,95500,0
674,180,647,168,116100,1
1626,376,1284,357,112200,1
175,43,228,55,75000,1
461,129,381,123,112500,0
902,237,846,227,125000,1
2373,779,1659,676,115000,1
391,128,520,138,95000,0
1137,301,866,259,96400,0
769,206,612,183,72000,0
472,146,415,126,71300,1
862,215,994,213,80800,0
1920,530,1525,477,128800,0
1420,472,1506,438,112500,0
986,258,1008,255,119400,0
2340,825,2813,751,118100,0
1696,396,1481,343,122500,0
1175,217,859,219,106300,0
2343,574,1608,523,132500,0
610,145,425,140,122700,0
930,199,564,184,113300,0
1487,314,961,272,109500,0
3424,690,2273,685,164700,0
762,190,600,195,125000,0
2366,575,1647,527,124700,0
1826,450,1201,424,136700,0
3049,711,2167,659,141700,0
1640,376,939,340,150000,1
1543,307,859,292,138800,1
2364,557,1517,516,139200,1
1745,409,1143,386,143800,1
2003,500,1109,464,156500,1
