Unnamed: 0,PassengerId,Survived,Sex,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Family_size,Title_1,Title_2,Title_3,Title_4,Emb_1,Emb_2,Emb_3
0,1,0,1,0.275,0.014151057562208,0,0,1,0.1,1,0,0,0,0,0,1
1,2,1,0,0.475,0.1391357353826406,1,0,0,0.1,1,0,0,0,1,0,0
2,3,1,0,0.325,0.0154685698179998,0,0,1,0.0,0,0,0,1,0,0,1
3,4,1,0,0.4375,0.1036442974556203,1,0,0,0.1,1,0,0,0,0,0,1
4,5,0,1,0.4375,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
5,6,0,1,0.35,0.0165095020935757,0,0,1,0.0,1,0,0,0,0,1,0
6,7,0,1,0.675,0.101228858320002,1,0,0,0.0,1,0,0,0,0,0,1
7,8,0,1,0.025,0.0411356604308323,0,0,1,0.4,0,0,1,0,0,0,1
8,9,1,0,0.3375,0.0217307543665283,0,0,1,0.2,1,0,0,0,0,0,1
9,10,1,0,0.175,0.0586942926540201,0,1,0,0.1,1,0,0,0,1,0,0
10,11,1,0,0.05,0.032596229143293,0,0,1,0.2,0,0,0,1,0,0,1
11,12,1,0,0.725,0.0518221487278101,1,0,0,0.0,0,0,0,1,0,0,1
12,13,0,1,0.25,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
13,14,0,1,0.4875,0.0610447345183526,0,0,1,0.6,1,0,0,0,0,0,1
14,15,0,0,0.175,0.0153303774213923,0,0,1,0.0,0,0,0,1,0,0,1
15,16,1,0,0.6875,0.0312299201372867,0,1,0,0.0,1,0,0,0,0,0,1
16,17,0,1,0.025,0.0568482139999047,0,0,1,0.5,0,0,1,0,0,1,0
17,18,1,1,0.35,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
18,19,0,0,0.3875,0.0351336601544475,0,0,1,0.1,1,0,0,0,0,0,1
19,20,1,0,0.35,0.0141022608119935,0,0,1,0.0,1,0,0,0,1,0,0
20,21,0,1,0.4375,0.0507486202230909,0,1,0,0.0,1,0,0,0,0,0,1
21,22,1,1,0.425,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
22,23,1,0,0.1875,0.0156719546728939,0,0,1,0.0,0,0,0,1,0,1,0
23,24,1,1,0.35,0.0692913853046049,1,0,0,0.0,1,0,0,0,0,0,1
24,25,0,0,0.1,0.0411356604308323,0,0,1,0.4,0,0,0,1,0,0,1
25,26,1,0,0.475,0.0612643198943179,0,0,1,0.6,1,0,0,0,0,0,1
26,27,0,1,0.35,0.0141022608119935,0,0,1,0.0,1,0,0,0,1,0,0
27,28,0,1,0.2375,0.5133418122566505,1,0,0,0.5,1,0,0,0,0,0,1
28,29,1,0,0.35,0.0153791741716068,0,0,1,0.0,0,0,0,1,0,1,0
29,30,0,1,0.35,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
30,31,0,1,0.5,0.0541073981338561,1,0,0,0.0,1,0,0,0,1,0,0
31,32,1,0,0.35,0.2859895551532101,1,0,0,0.1,1,0,0,0,1,0,0
32,33,1,0,0.35,0.0151269925664982,0,0,1,0.0,0,0,0,1,0,1,0
33,34,0,1,0.825,0.0204946350900944,0,1,0,0.0,1,0,0,0,0,0,1
34,35,0,1,0.35,0.16038672010106,1,0,0,0.1,1,0,0,0,1,0,0
35,36,0,1,0.525,0.1014972404461818,1,0,0,0.1,1,0,0,0,0,0,1
36,37,1,1,0.35,0.0141104586660295,0,0,1,0.0,1,0,0,0,1,0,0
37,38,0,1,0.2625,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
38,39,0,0,0.225,0.0351336601544475,0,0,1,0.2,0,0,0,1,0,0,1
39,40,1,0,0.175,0.0219423370754585,0,0,1,0.1,0,0,0,1,1,0,0
40,41,0,0,0.5,0.0184939683312994,0,0,1,0.1,1,0,0,0,0,0,1
41,42,0,0,0.3375,0.0409892701801888,0,1,0,0.1,1,0,0,0,0,0,1
42,43,0,1,0.35,0.0154115752137492,0,0,1,0.0,1,0,0,0,1,0,0
43,44,1,0,0.0375,0.081157193460767,0,1,0,0.3,0,0,0,1,1,0,0
44,45,1,0,0.2375,0.0153791741716068,0,0,1,0.0,0,0,0,1,0,1,0
45,46,0,1,0.35,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
46,47,0,1,0.35,0.0302539851329965,0,0,1,0.1,1,0,0,0,0,1,0
47,48,1,0,0.35,0.0151269925664982,0,0,1,0.0,0,0,0,1,0,1,0
48,49,0,1,0.35,0.0423149802900166,0,0,1,0.2,1,0,0,0,1,0,0
49,50,0,0,0.225,0.0347432861527314,0,0,1,0.1,1,0,0,0,0,0,1
50,51,0,1,0.0875,0.0774648409655354,0,0,1,0.5,0,0,1,0,0,0,1
51,52,0,1,0.2625,0.0152245860669272,0,0,1,0.0,1,0,0,0,0,0,1
52,53,1,0,0.6125,0.1497654242623688,1,0,0,0.1,1,0,0,0,1,0,0
53,54,1,0,0.3625,0.0507486202230909,0,1,0,0.1,1,0,0,0,0,0,1
54,55,0,1,0.8125,0.1209753416358076,1,0,0,0.1,1,0,0,0,1,0,0
55,56,1,1,0.35,0.0692913853046049,1,0,0,0.0,1,0,0,0,0,0,1
56,57,1,0,0.2625,0.0204946350900944,0,1,0,0.0,0,0,0,1,0,0,1
57,58,0,1,0.35625,0.0141104586660295,0,0,1,0.0,1,0,0,0,1,0,0
58,59,1,0,0.0625,0.0541643927381066,0,1,0,0.3,0,0,0,1,0,0,1
59,60,0,1,0.1375,0.0915427034024217,0,0,1,0.7,0,0,1,0,0,0,1
60,61,0,1,0.275,0.0141104586660295,0,0,1,0.0,1,0,0,0,1,0,0
61,62,1,0,0.475,0.1561496006864336,1,0,0,0.0,0,0,0,1,0,0,0
62,63,0,1,0.5625,0.1629323489662505,1,0,0,0.1,1,0,0,0,0,0,1
63,64,0,1,0.05,0.0544571732393937,0,0,1,0.5,0,0,1,0,0,0,1
64,65,0,1,0.35,0.0541073981338561,1,0,0,0.0,1,0,0,0,1,0,0
65,66,1,1,0.35,0.0297578197768153,0,0,1,0.2,0,0,1,0,1,0,0
66,67,1,0,0.3625,0.0204946350900944,0,1,0,0.0,1,0,0,0,0,0,1
67,68,0,1,0.2375,0.0159239410910016,0,0,1,0.0,1,0,0,0,0,0,1
68,69,1,0,0.2125,0.0154685698179998,0,0,1,0.6,0,0,0,1,0,0,1
69,70,0,1,0.325,0.0169080739493278,0,0,1,0.2,1,0,0,0,0,0,1
70,71,0,1,0.4,0.0204946350900944,0,1,0,0.0,1,0,0,0,0,0,1
71,72,0,0,0.2,0.0915427034024217,0,0,1,0.7,0,0,0,1,0,0,1
72,73,0,1,0.2625,0.1434624456306609,0,1,0,0.0,1,0,0,0,0,0,1
73,74,0,1,0.325,0.0282127194780231,0,0,1,0.1,1,0,0,0,1,0,0
74,75,1,1,0.4,0.1102724576307577,0,0,1,0.0,1,0,0,0,0,0,1
75,76,0,1,0.3125,0.0149318055656402,0,0,1,0.0,1,0,0,0,0,0,1
76,77,0,1,0.35,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
77,78,0,1,0.35,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
78,79,1,1,0.0103749999999999,0.0566042302488321,0,1,0,0.2,0,0,1,0,0,0,1
79,80,1,0,0.375,0.0243495783570407,0,0,1,0.0,0,0,0,1,0,0,1
80,81,0,1,0.275,0.0175668300772237,0,0,1,0.0,1,0,0,0,0,0,1
81,82,1,1,0.3625,0.0185427650815139,0,0,1,0.0,1,0,0,0,0,0,1
82,83,1,0,0.35,0.01520018769182,0,0,1,0.0,0,0,0,1,0,1,0
83,84,0,1,0.35,0.0919330774041378,1,0,0,0.0,1,0,0,0,0,0,1
84,85,1,0,0.2125,0.0204946350900944,0,1,0,0.0,0,0,0,1,0,0,1
85,86,1,0,0.4125,0.0309371396359996,0,0,1,0.3,1,0,0,0,0,0,1
86,87,0,1,0.2,0.0670955315449519,0,0,1,0.4,1,0,0,0,0,0,1
87,88,0,1,0.35,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
88,89,1,0,0.2875,0.5133418122566505,1,0,0,0.5,0,0,0,1,0,0,1
89,90,0,1,0.3,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
90,91,0,1,0.3625,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
91,92,0,1,0.25,0.0153303774213923,0,0,1,0.0,1,0,0,0,0,0,1
92,93,0,1,0.575,0.1194056477749072,1,0,0,0.1,1,0,0,0,0,0,1
93,94,0,1,0.325,0.0401597254265421,0,0,1,0.3,1,0,0,0,0,0,1
94,95,0,1,0.7375,0.014151057562208,0,0,1,0.0,1,0,0,0,0,0,1
95,96,0,1,0.35,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
96,97,0,1,0.8875,0.0676404936513476,1,0,0,0.0,1,0,0,0,1,0,0
97,98,1,1,0.2875,0.1236671655646408,1,0,0,0.1,1,0,0,0,1,0,0
98,99,1,0,0.425,0.0448930101973496,0,1,0,0.1,1,0,0,0,0,0,1
99,100,0,1,0.425,0.0507486202230909,0,1,0,0.1,1,0,0,0,0,0,1
100,101,0,0,0.35,0.0154115752137492,0,0,1,0.0,0,0,0,1,0,0,1
101,102,0,1,0.35,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
102,103,0,1,0.2625,0.1508551532881592,1,0,0,0.1,1,0,0,0,0,0,1
103,104,0,1,0.4125,0.0168918734282566,0,0,1,0.0,1,0,0,0,0,0,1
104,105,0,1,0.4625,0.0154685698179998,0,0,1,0.2,1,0,0,0,0,0,1
105,106,0,1,0.35,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
106,107,1,0,0.2625,0.0149318055656402,0,0,1,0.0,0,0,0,1,0,0,1
107,108,1,1,0.35,0.0151757893167127,0,0,1,0.0,1,0,0,0,0,0,1
108,109,0,1,0.475,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
109,110,1,0,0.35,0.0471376607072171,0,0,1,0.1,0,0,0,1,0,1,0
110,111,0,1,0.5875,0.1014972404461818,1,0,0,0.0,1,0,0,0,0,0,1
111,112,0,0,0.18125,0.0282127194780231,0,0,1,0.1,0,0,0,1,1,0,0
112,113,0,1,0.275,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
113,114,0,0,0.25,0.0191771228343026,0,0,1,0.1,0,0,0,1,0,0,1
114,115,0,0,0.2125,0.0282207221450582,0,0,1,0.0,0,0,0,1,1,0,0
115,116,0,1,0.2625,0.0154685698179998,0,0,1,0.0,1,0,0,0,0,0,1
116,117,0,1,0.88125,0.0151269925664982,0,0,1,0.0,1,0,0,0,0,1,0
117,118,0,1,0.3625,0.0409892701801888,0,1,0,0.1,1,0,0,0,0,0,1
118,119,0,1,0.3,0.4831284260198326,1,0,0,0.1,1,0,0,0,1,0,0
119,120,0,0,0.025,0.0610447345183526,0,0,1,0.6,0,0,0,1,0,0,1
120,121,0,1,0.2625,0.1434624456306609,0,1,0,0.2,1,0,0,0,0,0,1
121,122,0,1,0.35,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
122,123,0,1,0.40625,0.0586942926540201,0,1,0,0.1,1,0,0,0,1,0,0
123,124,1,0,0.40625,0.0253743101115454,0,1,0,0.0,0,0,0,1,0,0,1
124,125,0,1,0.675,0.1508551532881592,1,0,0,0.1,1,0,0,0,0,0,1
125,126,1,1,0.15,0.0219423370754585,0,0,1,0.1,0,0,1,0,1,0,0
126,127,0,1,0.35,0.0151269925664982,0,0,1,0.0,1,0,0,0,0,1,0
127,128,1,1,0.3,0.0139396700402787,0,0,1,0.0,1,0,0,0,0,0,1
128,129,1,0,0.35,0.0436404952128436,0,0,1,0.2,0,0,0,1,1,0,0
129,130,0,1,0.5625,0.0136142933098484,0,0,1,0.0,1,0,0,0,0,0,1
130,131,0,1,0.4125,0.0154115752137492,0,0,1,0.0,1,0,0,0,1,0,0
131,132,0,1,0.25,0.0137606835604919,0,0,1,0.0,1,0,0,0,0,0,1
132,133,0,0,0.5875,0.028302115124416,0,0,1,0.1,1,0,0,0,0,0,1
133,134,1,0,0.3625,0.0507486202230909,0,1,0,0.1,1,0,0,0,0,0,1
134,135,0,1,0.3125,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
135,136,0,1,0.2875,0.0293674457750992,0,1,0,0.0,1,0,0,0,1,0,0
136,137,1,0,0.2375,0.0513015849965217,1,0,0,0.2,0,0,0,1,0,0,1
137,138,0,1,0.4625,0.1036442974556203,1,0,0,0.1,1,0,0,0,0,0,1
138,139,0,1,0.2,0.0179898003080831,0,0,1,0.0,1,0,0,0,0,0,1
139,140,0,1,0.3,0.1545881046795693,1,0,0,0.0,1,0,0,0,1,0,0
140,141,0,0,0.35,0.0297578197768153,0,0,1,0.2,1,0,0,0,1,0,0
141,142,1,0,0.275,0.0151269925664982,0,0,1,0.0,0,0,0,1,0,0,1
142,143,1,0,0.3,0.0309371396359996,0,0,1,0.1,1,0,0,0,0,0,1
143,144,0,1,0.2375,0.0131751225579178,0,0,1,0.0,1,0,0,0,0,1,0
144,145,0,1,0.225,0.0224465050986748,0,1,0,0.0,1,0,0,0,0,0,1
145,146,0,1,0.2375,0.0717312228153304,0,1,0,0.2,1,0,0,0,0,0,1
146,147,1,1,0.3375,0.0152163882128912,0,0,1,0.0,1,0,0,0,0,0,1
147,148,0,0,0.1125,0.0670955315449519,0,0,1,0.4,0,0,0,1,0,0,1
148,149,0,1,0.45625,0.0507486202230909,0,1,0,0.2,1,0,0,0,0,0,1
149,150,0,1,0.525,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
150,151,0,1,0.6375,0.0244471718574697,0,1,0,0.0,1,0,0,0,0,0,1
151,152,1,0,0.275,0.1299945425714559,1,0,0,0.1,1,0,0,0,0,0,1
152,153,0,1,0.69375,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
153,154,0,1,0.50625,0.028302115124416,0,0,1,0.2,1,0,0,0,0,0,1
154,155,0,1,0.35,0.0142730494377443,0,0,1,0.0,1,0,0,0,0,0,1
155,156,0,1,0.6375,0.1198042196306593,1,0,0,0.1,1,0,0,0,1,0,0
156,157,1,0,0.2,0.0150943963373549,0,0,1,0.0,0,0,0,1,0,1,0
157,158,0,1,0.375,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
158,159,0,1,0.35,0.0169080739493278,0,0,1,0.0,1,0,0,0,0,0,1
159,160,0,1,0.35,0.1357525590967682,0,0,1,1.0,0,0,1,0,0,0,1
160,161,0,1,0.55,0.0314251071381447,0,0,1,0.1,1,0,0,0,0,0,1
161,162,1,0,0.5,0.0307419526351416,0,1,0,0.0,1,0,0,0,0,0,1
162,163,0,1,0.325,0.0151757893167127,0,0,1,0.0,1,0,0,0,0,0,1
163,164,0,1,0.2125,0.0169080739493278,0,0,1,0.0,1,0,0,0,0,0,1
164,165,0,1,0.0125,0.0774648409655354,0,0,1,0.5,0,0,1,0,0,0,1
165,166,1,1,0.1125,0.0400621319261131,0,0,1,0.2,0,0,1,0,0,0,1
166,167,1,0,0.35,0.1073528504719231,1,0,0,0.1,1,0,0,0,0,0,1
167,168,0,0,0.5625,0.0544571732393937,0,0,1,0.5,1,0,0,0,0,0,1
168,169,0,1,0.35,0.0506022299724474,1,0,0,0.0,1,0,0,0,0,0,1
169,170,0,1,0.35,0.1102724576307577,0,0,1,0.0,1,0,0,0,0,0,1
170,171,0,1,0.7625,0.065387645287444,1,0,0,0.0,1,0,0,0,0,0,1
171,172,0,1,0.05,0.0568482139999047,0,0,1,0.5,0,0,1,0,0,1,0
172,173,1,0,0.0125,0.0217307543665283,0,0,1,0.2,0,0,0,1,0,0,1
173,174,0,1,0.2625,0.0154685698179998,0,0,1,0.0,1,0,0,0,0,0,1
174,175,0,1,0.7,0.0599142114093828,1,0,0,0.0,1,0,0,0,1,0,0
175,176,0,1,0.225,0.0153303774213923,0,0,1,0.2,1,0,0,0,0,0,1
176,177,0,1,0.35,0.0497076879475149,0,0,1,0.4,0,0,1,0,0,0,1
177,178,0,0,0.625,0.0560430676213653,1,0,0,0.0,0,0,0,1,1,0,0
178,179,0,1,0.375,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
179,180,0,1,0.45,0.0,0,0,1,0.0,1,0,0,0,0,0,1
180,181,0,0,0.35,0.1357525590967682,0,0,1,1.0,0,0,0,1,0,0,1
181,182,0,1,0.35,0.0293756436291353,0,1,0,0.0,1,0,0,0,1,0,0
182,183,0,1,0.1125,0.0612643198943179,0,0,1,0.6,0,0,1,0,0,0,1
183,184,1,1,0.0125,0.0761229303346364,0,1,0,0.3,0,0,1,0,0,0,1
184,185,1,0,0.05,0.0429899369389837,0,0,1,0.2,0,0,0,1,0,0,1
185,186,0,1,0.35,0.097593500429021,1,0,0,0.0,1,0,0,0,0,0,1
186,187,1,0,0.35,0.0302539851329965,0,0,1,0.1,1,0,0,0,0,1,0
187,188,1,1,0.5625,0.0518221487278101,1,0,0,0.0,1,0,0,0,0,0,1
188,189,0,1,0.5,0.0302539851329965,0,0,1,0.2,1,0,0,0,0,1,0
